series id,year,period,value,footnotes
CUSR0000SAF1121,2022,M12,318.265,
CUSR0000SAF1121,2022,M11,318.558,
CUSR0000SAF1121,2022,M10,319.038,
CUSR0000SAF1121,2022,M09,319.771,
CUSR0000SAF1121,2022,M08,317.885,
CUSR0000SAF1121,2022,M07,316.808,
CUSR0000SAF1121,2022,M06,316.004,
CUSR0000SAF1121,2022,M05,315.862,
CUSR0000SAF1121,2022,M04,313.004,
CUSR0000SAF1121,2022,M03,311.278,
CUSR0000SAF1121,2022,M02,308.650,
CUSR0000SAF1121,2022,M01,305.382,
CUSR0000SAF1121,2021,M12,304.652,
CUSR0000SAF1121,2021,M11,305.578,
CUSR0000SAF1121,2021,M10,301.302,
CUSR0000SAF1121,2021,M09,297.040,
CUSR0000SAF1121,2021,M08,291.926,
CUSR0000SAF1121,2021,M07,289.948,
CUSR0000SAF1121,2021,M06,286.198,
CUSR0000SAF1121,2021,M05,279.285,
CUSR0000SAF1121,2021,M04,275.020,
CUSR0000SAF1121,2021,M03,273.329,
CUSR0000SAF1121,2021,M02,272.833,
CUSR0000SAF1121,2021,M01,272.090,
CUSR0000SAF1121,2020,M12,270.463,
CUSR0000SAF1121,2020,M11,270.250,
CUSR0000SAF1121,2020,M10,269.462,
CUSR0000SAF1121,2020,M09,269.269,
CUSR0000SAF1121,2020,M08,270.468,
CUSR0000SAF1121,2020,M07,273.867,
CUSR0000SAF1121,2020,M06,284.438,
CUSR0000SAF1121,2020,M05,278.315,
CUSR0000SAF1121,2020,M04,267.731,
CUSR0000SAF1121,2020,M03,259.057,
CUSR0000SAF1121,2020,M02,259.074,
CUSR0000SAF1121,2020,M01,258.040,
CUSR0000SAF1121,2019,M12,257.678,
CUSR0000SAF1121,2019,M11,254.840,
CUSR0000SAF1121,2019,M10,253.821,
CUSR0000SAF1121,2019,M09,252.440,
CUSR0000SAF1121,2019,M08,252.252,
CUSR0000SAF1121,2019,M07,252.558,
CUSR0000SAF1121,2019,M06,252.120,
CUSR0000SAF1121,2019,M05,253.509,
CUSR0000SAF1121,2019,M04,252.082,
CUSR0000SAF1121,2019,M03,252.513,
CUSR0000SAF1121,2019,M02,253.160,
CUSR0000SAF1121,2019,M01,252.209,
CUSR0000SAF1121,2018,M12,251.211,
CUSR0000SAF1121,2018,M11,250.820,
CUSR0000SAF1121,2018,M10,249.821,
CUSR0000SAF1121,2018,M09,250.152,
CUSR0000SAF1121,2018,M08,251.213,
CUSR0000SAF1121,2018,M07,250.500,
CUSR0000SAF1121,2018,M06,249.662,
CUSR0000SAF1121,2018,M05,250.095,
CUSR0000SAF1121,2018,M04,252.101,
CUSR0000SAF1121,2018,M03,251.542,
CUSR0000SAF1121,2018,M02,250.470,
CUSR0000SAF1121,2018,M01,250.832,
CUSR0000SAF1121,2017,M12,251.962,
CUSR0000SAF1121,2017,M11,249.945,
CUSR0000SAF1121,2017,M10,250.370,
CUSR0000SAF1121,2017,M09,249.712,
CUSR0000SAF1121,2017,M08,250.340,
CUSR0000SAF1121,2017,M07,250.450,
CUSR0000SAF1121,2017,M06,248.801,
CUSR0000SAF1121,2017,M05,247.784,
CUSR0000SAF1121,2017,M04,246.852,
CUSR0000SAF1121,2017,M03,248.625,
CUSR0000SAF1121,2017,M02,247.616,
CUSR0000SAF1121,2017,M01,245.934,
CUSR0000SAF1121,2016,M12,246.377,
CUSR0000SAF1121,2016,M11,246.937,
CUSR0000SAF1121,2016,M10,247.376,
CUSR0000SAF1121,2016,M09,248.310,
CUSR0000SAF1121,2016,M08,248.204,
CUSR0000SAF1121,2016,M07,248.537,
CUSR0000SAF1121,2016,M06,249.900,
CUSR0000SAF1121,2016,M05,250.830,
CUSR0000SAF1121,2016,M04,251.659,
CUSR0000SAF1121,2016,M03,251.283,
CUSR0000SAF1121,2016,M02,251.488,
CUSR0000SAF1121,2016,M01,252.101,
CUSR0000SAF1121,2015,M12,253.396,
CUSR0000SAF1121,2015,M11,255.968,
CUSR0000SAF1121,2015,M10,257.164,
CUSR0000SAF1121,2015,M09,257.090,
CUSR0000SAF1121,2015,M08,257.555,
CUSR0000SAF1121,2015,M07,258.202,
CUSR0000SAF1121,2015,M06,258.433,
CUSR0000SAF1121,2015,M05,258.087,
CUSR0000SAF1121,2015,M04,259.634,
CUSR0000SAF1121,2015,M03,260.886,
CUSR0000SAF1121,2015,M02,262.509,
CUSR0000SAF1121,2015,M01,262.713,
CUSR0000SAF1121,2014,M12,262.212,
CUSR0000SAF1121,2014,M11,261.419,
CUSR0000SAF1121,2014,M10,260.201,
CUSR0000SAF1121,2014,M09,260.606,
CUSR0000SAF1121,2014,M08,257.994,
CUSR0000SAF1121,2014,M07,254.101,
CUSR0000SAF1121,2014,M06,253.442,
CUSR0000SAF1121,2014,M05,252.993,
CUSR0000SAF1121,2014,M04,249.672,
CUSR0000SAF1121,2014,M03,245.844,
CUSR0000SAF1121,2014,M02,243.814,
CUSR0000SAF1121,2014,M01,241.605,
CUSR0000SAF1121,2013,M12,240.484,
CUSR0000SAF1121,2013,M11,239.401,
CUSR0000SAF1121,2013,M10,240.090,
CUSR0000SAF1121,2013,M09,238.336,
CUSR0000SAF1121,2013,M08,237.544,
CUSR0000SAF1121,2013,M07,236.120,
CUSR0000SAF1121,2013,M06,235.437,
CUSR0000SAF1121,2013,M05,234.424,
CUSR0000SAF1121,2013,M04,234.696,
CUSR0000SAF1121,2013,M03,234.365,
CUSR0000SAF1121,2013,M02,234.627,
CUSR0000SAF1121,2013,M01,234.479,
