Dairy,Alcohol,Meats,Date
271.376,224.772,318.265,2022-12-01
271.307,223.316,318.558,2022-11-01
269.355,221.743,319.038,2022-10-01
268.793,220.834,319.771,2022-09-01
267.461,220.152,317.885,2022-08-01
265.638,219.262,316.808,2022-07-01
261.255,218.421,316.004,2022-06-01
257.678,217.491,315.862,2022-05-01
251.03,217.116,313.004,2022-04-01
245.258,216.591,311.278,2022-03-01
242.386,216.142,308.65,2022-02-01
238.675,214.285,305.382,2022-01-01
235.442,213.6,304.652,2021-12-01
233.157,213.734,305.578,2021-11-01
233.168,213.597,301.302,2021-10-01
231.973,214.505,297.04,2021-09-01
230.145,213.372,291.926,2021-08-01
231.233,212.782,289.948,2021-07-01
230.152,212.403,286.198,2021-06-01
230.38,211.74,279.285,2021-05-01
230.17,211.062,275.02,2021-04-01
229.249,210.996,273.329,2021-03-01
230.452,210.754,272.833,2021-02-01
231.546,211.057,272.09,2021-01-01
231.74,211.043,270.463,2020-12-01
229.503,211.022,270.25,2020-11-01
229.155,210.26,269.462,2020-10-01
230.656,209.436,269.269,2020-09-01
231.231,209.009,270.468,2020-08-01
227.114,209.241,273.867,2020-07-01
228.437,209.117,284.438,2020-06-01
230.166,209.311,278.315,2020-05-01
228.755,208.712,267.731,2020-04-01
225.627,207.944,259.057,2020-03-01
224.443,206.952,259.074,2020-02-01
223.035,206.054,258.04,2020-01-01
221.924,205.227,257.678,2019-12-01
221.515,205.104,254.84,2019-11-01
220.738,205.774,253.821,2019-10-01
219.771,206.154,252.44,2019-09-01
218.758,206.485,252.252,2019-08-01
217.626,206.142,252.558,2019-07-01
217.433,205.601,252.12,2019-06-01
217.841,205.352,253.509,2019-05-01
217.51,204.016,252.082,2019-04-01
217.531,204.996,252.513,2019-03-01
216.595,206.006,253.16,2019-02-01
217.079,204.981,252.209,2019-01-01
216.652,204.695,251.211,2018-12-01
215.896,204.136,250.82,2018-11-01
216.8,203.435,249.821,2018-10-01
216.638,203.018,250.152,2018-09-01
216.435,202.036,251.213,2018-08-01
215.622,202.125,250.5,2018-07-01
216.126,202.285,249.662,2018-06-01
215.659,201.764,250.095,2018-05-01
216.906,201.946,252.101,2018-04-01
216.497,201.687,251.542,2018-03-01
216.412,201.698,250.47,2018-02-01
217.897,201.299,250.832,2018-01-01
216.916,201.709,251.962,2017-12-01
216.878,201.57,249.945,2017-11-01
217.17,201.027,250.37,2017-10-01
216.564,200.633,249.712,2017-09-01
216.537,199.92,250.34,2017-08-01
216.434,199.743,250.45,2017-07-01
215.192,199.179,248.801,2017-06-01
217.015,199.576,247.784,2017-05-01
217.827,200.612,246.852,2017-04-01
218.567,199.855,248.625,2017-03-01
220.552,199.632,247.616,2017-02-01
219.804,200.164,245.934,2017-01-01
217.929,199.18,246.377,2016-12-01
216.773,198.799,246.937,2016-11-01
218.183,199.173,247.376,2016-10-01
216.693,198.923,248.31,2016-09-01
215.506,198.815,248.204,2016-08-01
214.605,198.958,248.537,2016-07-01
214.815,199.02,249.9,2016-06-01
216.122,198.984,250.83,2016-05-01
218.315,199.0,251.659,2016-04-01
218.131,198.824,251.283,2016-03-01
219.732,199.188,251.488,2016-02-01
220.869,198.847,252.101,2016-01-01
220.848,197.561,253.396,2015-12-01
220.613,198.045,255.968,2015-11-01
221.874,198.169,257.164,2015-10-01
222.31,196.977,257.09,2015-09-01
220.716,197.426,257.555,2015-08-01
221.443,197.17,258.202,2015-07-01
219.696,196.94,258.433,2015-06-01
221.039,197.283,258.087,2015-05-01
222.691,196.831,259.634,2015-04-01
224.449,197.113,260.886,2015-03-01
225.535,196.915,262.509,2015-02-01
227.8,196.84,262.713,2015-01-01
229.87,197.612,262.212,2014-12-01
228.412,198.652,261.419,2014-11-01
228.831,197.057,260.201,2014-10-01
227.604,197.753,260.606,2014-09-01
226.39,198.129,257.994,2014-08-01
225.14,196.409,254.101,2014-07-01
224.522,196.453,253.442,2014-06-01
225.491,196.565,252.993,2014-05-01
224.171,196.174,249.672,2014-04-01
223.063,196.228,245.844,2014-03-01
220.861,195.983,243.814,2014-02-01
219.362,196.606,241.605,2014-01-01
218.376,196.552,240.484,2013-12-01
217.463,195.957,239.401,2013-11-01
216.596,195.873,240.09,2013-10-01
217.007,196.145,238.336,2013-09-01
216.791,196.525,237.544,2013-08-01
215.92,196.33,236.12,2013-07-01
216.062,195.946,235.437,2013-06-01
216.327,195.582,234.424,2013-05-01
218.141,195.572,234.696,2013-04-01
218.123,195.144,234.365,2013-03-01
219.526,194.702,234.627,2013-02-01
220.319,193.881,234.479,2013-01-01
